Unnamed: 0,Unnamed: 1,Unnamed: 2,Total Number of Filings,Unnamed: 4,Unnamed: 5,19232,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Serial No.,Date,Company Name,File No.,File Name,CUSIP Number,Form Type,Total Pages,Edited Pages,Template type,Edited,Accession Number,Completion Time,Post Status,Edited by,TC Done by,Filed By,SEC Filing Links,Notes,Comments by Barclays ,File Type
107,2020-12-03 00:00:00,,06747QRR0 - FS,,,FWP,2,,Automated,No,0001481057-20-000462,,,Shamim,,Habib,,,,Fact Sheet
108,2020-12-03 00:00:00,,06747QRS8 - FS,,,FWP,2,,Automated,No,0001481057-20-000463,,,Jewel,,Habib,,,,Fact Sheet
109,2020-12-03 00:00:00,,06747QRW9 - FS,,,FWP,2,,Automated,No,0001481057-20-000464,,,Al Amin,,Habib,,,,Fact Sheet
110,2020-12-03 00:00:00,,06747QSG3 - Final,,,424B2,16,,Automated,Yes,0001481057-20-000493,,,Saykot,,Zakir,,,,Final
111,2020-12-03 00:00:00,,06747QRU3 - FS,,,FWP,2,,Automated,No,0001481057-20-000465,,,Mahfuza,,Habib,,,,Fact Sheet
112,2020-12-03 00:00:00,,06741WME7,,,424B2,18,,Automated,No,0001481057-20-000466,,,Sultana,,Sultana,,,,Prelim
113,2020-12-03 00:00:00,,06747QRV1 - FS,,,FWP,2,,Automated,No,0001481057-20-000467,,,Mostafizur,,Habib,,,,Fact Sheet
114,2020-12-03 00:00:00,,06747QRK5 - FS,,,FWP,2,,Automated,No,0001481057-20-000469,,,Shamim,,Habib,,,,Fact Sheet
115,2020-12-03 00:00:00,,06747QRJ8 - FS,,,FWP,2,,Automated,No,0001481057-20-000470,,,Jewel,,Habib,,,,Fact Sheet
116,2020-12-03 00:00:00,,06741WMD9 - FS,,,FWP,2,,Automated,No,0001481057-20-000471,,,Al Amin,,Habib,,,,Fact Sheet
117,2020-12-03 00:00:00,,06747QRZ2 - FS,,,FWP,2,,Automated,No,0001481057-20-000473,,,Saykot,,Habib,,,,Fact Sheet
118,2020-12-03 00:00:00,,06747QRX7 - FS,,,FWP,2,,Automated,No,0001481057-20-000478,,,Shamim,,Habib,,,,Fact Sheet
119,2020-12-03 00:00:00,,06747QSJ7 - FS,,,FWP,2,,Automated,No,0001481057-20-000479,,,Saykot,,Habib,,,,Fact Sheet
120,2020-12-03 00:00:00,,06747QRY5 - FS,,,FWP,2,,Automated,No,0001481057-20-000480,,,Jewel,,Habib,,,,Fact Sheet
121,2020-12-03 00:00:00,,06741WMH0,,,424B2,22,,Automated,Yes,0001481057-20-000481,,,Mostafizur,,Habib,,,,Prelim
122,2020-12-03 00:00:00,,06741WMJ6,,,424B2,18,,Automated,No,0001481057-20-000482,,,Al Amin,,Habib,,,,Prelim
123,2020-12-03 00:00:00,,06741WMK3,,,424B2,17,,Automated,No,0001481057-20-000488,,,Saykot,,Habib,,,,Prelim
124,2020-12-03 00:00:00,,06741WMG2 ,,,424B2,17,,Automated,No,0001481057-20-000486,,,Shamim,,Habib,,,,Prelim
125,2020-12-04 00:00:00,,06747QSK4,,,424B2,19,,Automated,No,0001481057-20-000490,,,Sultana,,Sultana,,,,Prelim
126,2020-12-04 00:00:00,,06741WME7 - FS,,,FWP,2,,Automated,No,0001481057-20-000492,,,Mostafizur,,Habib,,,,Fact Sheet
